,County,Year,Stage,Count,Exp_Count,Pop,RateRatioResult,LowerBound_Result,UpperBoundResult
143,Lancaster,2014,Unknown,250,232.6,"533,320",35,30.7,39.7
144,Lawrence,2014,Invasive,585,602,"88,771",452.3,414.7,492.7
145,Lawrence,2014,Early,301,343.7,"88,771",244.6,216.2,275.8
146,Lawrence,2014,Late,290,272,"88,771",219.4,193.9,247.7
147,Lawrence,2014,Unknown,37,46.9,"88,771",25.6,17.8,36.3
148,Lebanon,2014,Invasive,795,849.2,"136,359",440.9,409.8,473.9
149,Lebanon,2014,Early,459,487.4,"136,359",259.8,235.8,285.8
150,Lebanon,2014,Late,353,383.3,"136,359",192.8,172.6,214.9
151,Lebanon,2014,Unknown,64,64.8,"136,359",34.7,26.5,44.9
152,Lehigh,2014,Invasive,"2,156","2,052.30","357,823",493.2,472.1,515
153,Lehigh,2014,Early,"1,269","1,186.20","357,823",294.2,277.8,311.3
154,Lehigh,2014,Late,955,924.9,"357,823",219.3,205.3,234.1
155,Lehigh,2014,Unknown,130,153.6,"357,823",26.8,22.3,32
156,Luzerne,2014,Invasive,"2,158","2,056.10","318,829",494.3,472.9,516.5
157,Luzerne,2014,Early,"1,155","1,179.80","318,829",268.3,252.5,284.9
158,Luzerne,2014,Late,"1,010",927.7,"318,829",231,216.5,246.3
159,Luzerne,2014,Unknown,167,157.9,"318,829",35.9,30.5,42.1
160,Lycoming,2014,Invasive,730,715.2,"116,508",481,445.5,518.8
161,Lycoming,2014,Early,435,411.9,"116,508",284.9,257.8,314.2
162,Lycoming,2014,Late,313,322.7,"116,508",210.7,187.1,236.5
163,Lycoming,2014,Unknown,52,53.7,"116,508",30.8,22.9,41
164,McKean,2014,Invasive,233,269.4,"42,554",398.1,347.5,454.8
165,McKean,2014,Early,120,155.4,"42,554",212,174.6,255.5
166,McKean,2014,Late,117,121.6,"42,554",204.8,168.5,247.4
167,McKean,2014,Unknown,23,20,"42,554",35.7,22.5,55
168,Mercer,2014,Invasive,818,766.6,"114,884",499.8,464.6,537.2
169,Mercer,2014,Early,487,437.4,"114,884",302,274.6,331.6
170,Mercer,2014,Late,332,346.2,"114,884",203.6,181.4,228.1
171,Mercer,2014,Unknown,58,60,"114,884",30.9,23.2,40.8
172,Mifflin,2014,Invasive,306,309.8,"46,552",458.8,406.9,516.1
173,Mifflin,2014,Early,149,177.6,"46,552",231.3,194.1,274.2
174,Mifflin,2014,Late,158,140,"46,552",236.4,199.7,278.5
175,Mifflin,2014,Unknown,17,23.5,"46,552",ND,ND,ND
176,Monroe,2014,Invasive,"1,011",960.6,"166,314",491.7,460.8,524.2
177,Monroe,2014,Early,571,565.4,"166,314",276.7,253.7,301.4
178,Monroe,2014,Late,447,433.7,"166,314",214.8,194.7,236.6
179,Monroe,2014,Unknown,66,64.5,"166,314",35.4,27.1,45.4
180,Montgomery,2014,Invasive,"4,902","4,842.10","816,857",472.5,459,486.3
181,Montgomery,2014,Early,"3,179","2,795.70","816,857",311.9,300.8,323.3
182,Montgomery,2014,Late,"2,041","2,182.20","816,857",195.3,186.7,204.2
183,Montgomery,2014,Unknown,396,365.8,"816,857",36.3,32.7,40.2
184,Montour,2014,Invasive,140,124.3,"18,641",559.1,464.3,668.6
185,Montour,2014,Early,85,70.9,"18,641",348,273.1,438
186,Montour,2014,Late,68,56.2,"18,641",275.3,210.2,355.3
187,Montour,2014,Unknown,7,9.7,"18,641",ND,ND,ND
188,Northampton,2014,Invasive,"1,955","1,838.20","300,654",495.4,473,518.6
189,Northampton,2014,Early,"1,140","1,058.80","300,654",296.3,278.8,314.8
190,Northampton,2014,Late,889,828.9,"300,654",222.5,207.7,238.1
191,Northampton,2014,Unknown,115,139.6,"300,654",28.7,23.5,34.8
192,Northumberland,2014,Invasive,627,625.8,"93,944",481.4,442.8,522.7
193,Northumberland,2014,Early,387,359.2,"93,944",300.5,270,333.8
194,Northumberland,2014,Late,260,282.5,"93,944",198.4,174.1,225.5
195,Northumberland,2014,Unknown,41,47.6,"93,944",28.4,20.2,39.5
196,Perry,2014,Invasive,239,271.9,"45,634",415.6,362.7,474.6
197,Perry,2014,Early,129,159.8,"45,634",225.8,187,270.6
198,Perry,2014,Late,105,122.6,"45,634",182.3,147.9,222.9
199,Perry,2014,Unknown,28,18.4,"45,634",48.3,31.7,71.1
200,Philadelphia,2014,Invasive,"8,211","7,500.70","1,560,297",513.1,501.8,524.5
201,Philadelphia,2014,Early,"4,463","4,385.80","1,560,297",280.3,271.9,288.8
202,Philadelphia,2014,Late,"3,824","3,367.40","1,560,297",239.2,231.5,247
203,Philadelphia,2014,Unknown,601,535.6,"1,560,297",36.9,33.9,40
204,Pike,2014,Invasive,330,388.2,"56,191",402.9,358.4,452.2
205,Pike,2014,Early,160,226.1,"56,191",201.4,169.5,238.3
206,Pike,2014,Late,147,175.7,"56,191",175.5,147.2,208.7
207,Pike,2014,Unknown,39,26.8,"56,191",47.2,33,66.4
208,Potter,2014,Invasive,101,122.5,"17,206",393,315.7,485.7
209,Potter,2014,Early,55,70.3,"17,206",214.8,158.4,287
210,Potter,2014,Late,49,55.4,"17,206",191.5,139.1,259.8
211,Potter,2014,Unknown,4,9.1,"17,206",ND,ND,ND
212,Schuylkill,2014,Invasive,949,962.9,"145,797",461.6,431.8,493.1
213,Schuylkill,2014,Early,513,553.6,"145,797",252.1,230.1,275.9
214,Schuylkill,2014,Late,446,434.5,"145,797",216.2,196,238.1
215,Schuylkill,2014,Unknown,67,73.2,"145,797",31.2,24,40.2
216,Snyder,2014,Invasive,204,235.6,"40,323",395.3,342,455.1
217,Snyder,2014,Early,129,136.4,"40,323",247.7,206.2,295.9
218,Snyder,2014,Late,80,106.4,"40,323",156.6,123.7,196.3
219,Snyder,2014,Unknown,14,17.2,"40,323",ND,ND,ND
220,Somerset,2014,Invasive,496,527.2,"76,218",448,407.6,491.8
221,Somerset,2014,Early,277,302.2,"76,218",257.1,226.2,291.4
222,Somerset,2014,Late,245,238,"76,218",219.6,191.7,250.8
223,Somerset,2014,Unknown,20,40.4,"76,218",15.6,9.4,25.3
224,Sullivan,2014,Invasive,54,53.5,"6,339",493.7,355.5,679.8
225,Sullivan,2014,Early,34,30.6,"6,339",313.4,205.7,470.6
226,Sullivan,2014,Late,23,24.3,"6,339",206.4,122.2,341.5
227,Sullivan,2014,Unknown,5,4,"6,339",ND,ND,ND
228,Susquehanna,2014,Invasive,274,289.7,"41,920",449.3,394.5,510.3
229,Susquehanna,2014,Early,121,167.9,"41,920",201.8,165.2,244.9
230,Susquehanna,2014,Late,136,131,"41,920",221.7,184,265.7
231,Susquehanna,2014,Unknown,29,20.6,"41,920",46.2,30.3,68.7
232,Tioga,2014,Invasive,282,277.2,"42,274",477.8,421.7,540
233,Tioga,2014,Early,163,160,"42,274",292.7,247.4,344.4
234,Tioga,2014,Late,118,125.4,"42,274",191.9,158.1,231.7
235,Tioga,2014,Unknown,24,20,"42,274",37.4,23.9,57.2
236,Union,2014,Invasive,227,253.8,"44,874",421.5,367.4,481.7
237,Union,2014,Early,135,146.6,"44,874",253,211.5,300.6
238,Union,2014,Late,93,114.2,"44,874",177.7,142.7,219
239,Union,2014,Unknown,19,19.2,"44,874",ND,ND,ND
240,Venango,2014,Invasive,384,369,"53,529",494.4,443.5,550
241,Venango,2014,Early,215,212.5,"53,529",278,239.8,321
242,Venango,2014,Late,178,166.9,"53,529",227.2,193.5,265.6
243,Venango,2014,Unknown,17,27.3,"53,529",ND,ND,ND
244,Warren,2014,Invasive,263,285.5,"40,703",437.1,382.9,497.6
245,Warren,2014,Early,150,164.2,"40,703",257.4,215.3,306.1
246,Warren,2014,Late,110,129.1,"40,703",185.9,150.7,227.7
247,Warren,2014,Unknown,18,21.3,"40,703",ND,ND,ND
248,Washington,2014,Invasive,"1,424","1,368.70","208,187",489.2,463.1,516.6
249,Washington,2014,Early,796,788.3,"208,187",281.6,261.5,302.9
250,Washington,2014,Late,698,617.9,"208,187",235.5,217.7,254.5
251,Washington,2014,Unknown,94,102.6,"208,187",30.8,24.6,38.2
252,Wayne,2014,Invasive,326,361.1,"51,401",424.2,377.5,476
253,Wayne,2014,Early,153,210,"51,401",198.8,166.9,235.8
254,Wayne,2014,Late,157,163.2,"51,401",204.1,172.3,241
255,Wayne,2014,Unknown,43,25.3,"51,401",56.4,40.5,77.6
256,Westmoreland,2014,Invasive,"2,616","2,518.30","359,320",494.8,475,515.2
257,Westmoreland,2014,Early,"1,560","1,445.00","359,320",302.9,287.2,319.3
258,Westmoreland,2014,Late,"1,166","1,138.20","359,320",216.4,203.6,229.9
259,Westmoreland,2014,Unknown,218,191,"359,320",39.3,34,45.4
260,Wyoming,2014,Invasive,161,180.2,"28,131",420.6,355.4,495.3
261,Wyoming,2014,Early,89,104.9,"28,131",236.4,187.5,295.1
262,Wyoming,2014,Late,75,81.3,"28,131",196.8,153.1,250.2
263,Wyoming,2014,Unknown,14,12.7,"28,131",ND,ND,ND
264,York,2014,Invasive,"2,544","2,563.60","440,755",466.4,448,485.4
265,York,2014,Early,"1,481","1,494.40","440,755",274,259.8,288.7
266,York,2014,Late,"1,173","1,155.90","440,755",214.8,202.4,227.8
267,York,2014,Unknown,178,182.9,"440,755",32,27.4,37.2
