Category2
" Pennsylvania Cancer Incidence: Age-Adjusted Rates per 100,000"

RateRatio,Cancer_Site,County,Year,Sex,Race_Ethnicity,Age,Stage,Count,Exp_Count,Pop,RateRatioResult,LowerBound_Result,UpperBoundResult,SignificanceResult,County_Code
Age-Adjusted Rate,All Cancers,Carbon,2014,Total,All Races,All Ages,Invasive,438,435.9,"64,441",461.4,417.5,509.1,,025
Age-Adjusted Rate,All Cancers,Carbon,2014,Total,All Races,All Ages,Early,238,252.1,"64,441",256.3,223.3,293.2,,025
Age-Adjusted Rate,All Cancers,Carbon,2014,Total,All Races,All Ages,Late,190,197.0,"64,441",196.1,168.3,227.7,,025
Age-Adjusted Rate,All Cancers,Carbon,2014,Total,All Races,All Ages,Unknown,52,31.8,"64,441",54.0,40.1,72.0,+,025
Age-Adjusted Rate,All Cancers,Centre,2014,Total,All Races,All Ages,Invasive,636,739.3,"158,742",407.7,376.0,441.5,-,027
Age-Adjusted Rate,All Cancers,Centre,2014,Total,All Races,All Ages,Early,394,431.3,"158,742",249.9,225.3,276.6,,027
Age-Adjusted Rate,All Cancers,Centre,2014,Total,All Races,All Ages,Late,271,332.1,"158,742",176.8,156.0,199.8,-,027
Age-Adjusted Rate,All Cancers,Centre,2014,Total,All Races,All Ages,Unknown,53,52.8,"158,742",33.4,24.9,43.9,,027
Age-Adjusted Rate,All Cancers,Chester,2014,Total,All Races,All Ages,Invasive,"2,844","2,843.3","512,784",472.3,454.6,490.5,,029
Age-Adjusted Rate,All Cancers,Chester,2014,Total,All Races,All Ages,Early,"1,902","1,661.1","512,784",313.5,299.2,328.4,+,029
Age-Adjusted Rate,All Cancers,Chester,2014,Total,All Races,All Ages,Late,"1,208","1,281.2","512,784",201.8,190.3,213.9,,029
Age-Adjusted Rate,All Cancers,Chester,2014,Total,All Races,All Ages,Unknown,208,202.6,"512,784",34.5,29.9,39.7,,029
Age-Adjusted Rate,All Cancers,Clarion,2014,Total,All Races,All Ages,Invasive,232,240.6,"38,821",443.2,386.6,506.4,,031
Age-Adjusted Rate,All Cancers,Clarion,2014,Total,All Races,All Ages,Early,123,138.9,"38,821",247.7,204.5,298.0,,031
Age-Adjusted Rate,All Cancers,Clarion,2014,Total,All Races,All Ages,Late,107,108.7,"38,821",199.3,162.6,242.7,,031
Age-Adjusted Rate,All Cancers,Clarion,2014,Total,All Races,All Ages,Unknown,13,17.6,"38,821",ND,ND,ND,,031
Age-Adjusted Rate,All Cancers,Clearfield,2014,Total,All Races,All Ages,Invasive,489,529.6,"81,191",429.0,390.7,470.3,,033
Age-Adjusted Rate,All Cancers,Clearfield,2014,Total,All Races,All Ages,Early,251,305.7,"81,191",227.2,199.1,258.6,-,033
Age-Adjusted Rate,All Cancers,Clearfield,2014,Total,All Races,All Ages,Late,222,239.0,"81,191",191.9,167.0,220.0,,033
Age-Adjusted Rate,All Cancers,Clearfield,2014,Total,All Races,All Ages,Unknown,41,39.5,"81,191",33.4,23.7,46.4,,033
Age-Adjusted Rate,All Cancers,Clinton,2014,Total,All Races,All Ages,Invasive,198,232.7,"39,745",401.4,345.9,463.8,-,035
Age-Adjusted Rate,All Cancers,Clinton,2014,Total,All Races,All Ages,Early,105,134.0,"39,745",222.9,180.9,272.1,-,035
Age-Adjusted Rate,All Cancers,Clinton,2014,Total,All Races,All Ages,Late,95,105.0,"39,745",189.4,152.3,233.5,,035
Age-Adjusted Rate,All Cancers,Clinton,2014,Total,All Races,All Ages,Unknown,20,17.3,"39,745",36.1,21.9,57.1,,035
Age-Adjusted Rate,All Cancers,Columbia,2014,Total,All Races,All Ages,Invasive,425,400.9,"67,122",499.8,451.6,552.2,,037
Age-Adjusted Rate,All Cancers,Columbia,2014,Total,All Races,All Ages,Early,240,231.4,"67,122",282.2,246.1,322.5,,037
Age-Adjusted Rate,All Cancers,Columbia,2014,Total,All Races,All Ages,Late,195,180.9,"67,122",231.6,199.0,268.2,,037
Age-Adjusted Rate,All Cancers,Columbia,2014,Total,All Races,All Ages,Unknown,22,29.7,"67,122",24.9,15.3,38.7,,037
Age-Adjusted Rate,All Cancers,Crawford,2014,Total,All Races,All Ages,Invasive,568,552.8,"87,175",475.0,435.2,517.8,,039
Age-Adjusted Rate,All Cancers,Crawford,2014,Total,All Races,All Ages,Early,299,320.6,"87,175",254.4,225.2,286.7,,039
Age-Adjusted Rate,All Cancers,Crawford,2014,Total,All Races,All Ages,Late,253,249.7,"87,175",211.8,185.5,241.0,,039
Age-Adjusted Rate,All Cancers,Crawford,2014,Total,All Races,All Ages,Unknown,61,39.5,"87,175",50.5,38.2,65.8,+,039
Age-Adjusted Rate,All Cancers,Cumberland,2014,Total,All Races,All Ages,Invasive,"1,332","1,459.3","243,762",428.8,405.5,453.3,-,041
Age-Adjusted Rate,All Cancers,Cumberland,2014,Total,All Races,All Ages,Early,803,843.3,"243,762",259.8,241.6,279.0,,041
Age-Adjusted Rate,All Cancers,Cumberland,2014,Total,All Races,All Ages,Late,565,657.7,"243,762",183.0,167.8,199.2,-,041
Age-Adjusted Rate,All Cancers,Cumberland,2014,Total,All Races,All Ages,Unknown,103,108.7,"243,762",30.7,24.9,37.5,,041
Age-Adjusted Rate,All Cancers,Dauphin,2014,Total,All Races,All Ages,Invasive,"1,505","1,545.7","271,453",456.0,432.6,480.4,,043
Age-Adjusted Rate,All Cancers,Dauphin,2014,Total,All Races,All Ages,Early,923,900.2,"271,453",279.8,261.5,299.1,,043
Age-Adjusted Rate,All Cancers,Dauphin,2014,Total,All Races,All Ages,Late,666,696.5,"271,453",203.2,187.6,219.7,,043
Age-Adjusted Rate,All Cancers,Dauphin,2014,Total,All Races,All Ages,Unknown,91,110.9,"271,453",26.4,21.2,32.7,-,043
Age-Adjusted Rate,All Cancers,Delaware,2014,Total,All Races,All Ages,Invasive,"3,289","3,151.4","562,960",486.8,469.8,504.3,+,045
Age-Adjusted Rate,All Cancers,Delaware,2014,Total,All Races,All Ages,Early,"2,066","1,821.0","562,960",309.7,296.1,323.8,+,045
Age-Adjusted Rate,All Cancers,Delaware,2014,Total,All Races,All Ages,Late,"1,473","1,419.7","562,960",218.8,207.4,230.6,,045
Age-Adjusted Rate,All Cancers,Delaware,2014,Total,All Races,All Ages,Unknown,228,237.3,"562,960",31.4,27.3,35.9,,045
Age-Adjusted Rate,All Cancers,Elk,2014,Total,All Races,All Ages,Invasive,246,218.2,"31,194",533.3,465.0,609.9,,047
Age-Adjusted Rate,All Cancers,Elk,2014,Total,All Races,All Ages,Early,115,125.2,"31,194",252.5,205.9,307.7,,047
Age-Adjusted Rate,All Cancers,Elk,2014,Total,All Races,All Ages,Late,102,98.7,"31,194",219.8,177.1,270.9,,047
Age-Adjusted Rate,All Cancers,Elk,2014,Total,All Races,All Ages,Unknown,36,16.5,"31,194",74.7,51.1,107.0,+,047
Age-Adjusted Rate,All Cancers,Erie,2014,Total,All Races,All Ages,Invasive,"1,517","1,602.2","278,443",439.1,416.6,462.6,-,049
Age-Adjusted Rate,All Cancers,Erie,2014,Total,All Races,All Ages,Early,850,927.0,"278,443",250.0,232.9,268.2,-,049
Age-Adjusted Rate,All Cancers,Erie,2014,Total,All Races,All Ages,Late,673,722.0,"278,443",195.1,180.2,210.9,,049
Age-Adjusted Rate,All Cancers,Erie,2014,Total,All Races,All Ages,Unknown,123,118.6,"278,443",34.0,28.1,40.8,,049
Age-Adjusted Rate,All Cancers,Fayette,2014,Total,All Races,All Ages,Invasive,924,897.8,"134,086",488.5,456.1,522.7,,051
Age-Adjusted Rate,All Cancers,Fayette,2014,Total,All Races,All Ages,Early,465,516.5,"134,086",251.3,227.9,276.7,,051
Age-Adjusted Rate,All Cancers,Fayette,2014,Total,All Races,All Ages,Late,428,405.2,"134,086",222.1,200.8,245.2,,051
Age-Adjusted Rate,All Cancers,Fayette,2014,Total,All Races,All Ages,Unknown,97,67.7,"134,086",50.0,40.1,61.8,+,051
Age-Adjusted Rate,All Cancers,Forest,2014,Total,All Races,All Ages,Invasive,40,53.3,"7,518",344.0,242.7,501.6,,053
Age-Adjusted Rate,All Cancers,Forest,2014,Total,All Races,All Ages,Early,16,31.2,"7,518",ND,ND,ND,,053
Age-Adjusted Rate,All Cancers,Forest,2014,Total,All Races,All Ages,Late,24,24.1,"7,518",198.2,125.6,331.9,,053
Age-Adjusted Rate,All Cancers,Forest,2014,Total,All Races,All Ages,Unknown,4,3.6,"7,518",ND,ND,ND,,053
Age-Adjusted Rate,All Cancers,Franklin,2014,Total,All Races,All Ages,Invasive,845,945.7,"152,892",425.6,396.6,456.4,-,055
Age-Adjusted Rate,All Cancers,Franklin,2014,Total,All Races,All Ages,Early,448,545.2,"152,892",227.5,206.2,250.4,-,055
Age-Adjusted Rate,All Cancers,Franklin,2014,Total,All Races,All Ages,Late,395,426.9,"152,892",200.9,181.1,222.5,,055
Age-Adjusted Rate,All Cancers,Franklin,2014,Total,All Races,All Ages,Unknown,82,70.5,"152,892",37.7,29.9,47.2,,055
Age-Adjusted Rate,All Cancers,Fulton,2014,Total,All Races,All Ages,Invasive,97,96.3,"14,632",464.9,374.7,572.8,,057
Age-Adjusted Rate,All Cancers,Fulton,2014,Total,All Races,All Ages,Early,56,56.0,"14,632",276.1,206.4,364.2,,057
Age-Adjusted Rate,All Cancers,Fulton,2014,Total,All Races,All Ages,Late,43,43.5,"14,632",200.3,143.8,274.6,,057
Age-Adjusted Rate,All Cancers,Fulton,2014,Total,All Races,All Ages,Unknown,9,6.7,"14,632",ND,ND,ND,,057
Age-Adjusted Rate,All Cancers,Greene,2014,Total,All Races,All Ages,Invasive,201,231.2,"37,843",410.1,353.7,473.6,,059
Age-Adjusted Rate,All Cancers,Greene,2014,Total,All Races,All Ages,Early,114,134.5,"37,843",238.4,195.2,288.8,,059
Age-Adjusted Rate,All Cancers,Greene,2014,Total,All Races,All Ages,Late,92,104.2,"37,843",187.5,150.2,231.9,,059
Age-Adjusted Rate,All Cancers,Greene,2014,Total,All Races,All Ages,Unknown,13,16.5,"37,843",ND,ND,ND,,059
Age-Adjusted Rate,All Cancers,Huntingdon,2014,Total,All Races,All Ages,Invasive,235,291.3,"45,750",375.3,327.4,428.7,-,061
Age-Adjusted Rate,All Cancers,Huntingdon,2014,Total,All Races,All Ages,Early,145,168.8,"45,750",231.6,194.5,274.3,-,061
Age-Adjusted Rate,All Cancers,Huntingdon,2014,Total,All Races,All Ages,Late,97,131.4,"45,750",156.6,126.0,193.0,-,061
Age-Adjusted Rate,All Cancers,Huntingdon,2014,Total,All Races,All Ages,Unknown,15,21.1,"45,750",ND,ND,ND,,061
Age-Adjusted Rate,All Cancers,Indiana,2014,Total,All Races,All Ages,Invasive,471,522.6,"87,706",431.3,391.5,474.2,,063
Age-Adjusted Rate,All Cancers,Indiana,2014,Total,All Races,All Ages,Early,247,301.1,"87,706",230.1,200.9,262.5,-,063
Age-Adjusted Rate,All Cancers,Indiana,2014,Total,All Races,All Ages,Late,224,235.8,"87,706",203.3,176.5,233.3,,063
Age-Adjusted Rate,All Cancers,Indiana,2014,Total,All Races,All Ages,Unknown,41,38.9,"87,706",35.8,25.4,49.5,,063
Age-Adjusted Rate,All Cancers,Jefferson,2014,Total,All Races,All Ages,Invasive,309,295.6,"44,638",484.7,430.3,544.7,,065
Age-Adjusted Rate,All Cancers,Jefferson,2014,Total,All Races,All Ages,Early,149,169.6,"44,638",237.9,199.8,281.7,,065
Age-Adjusted Rate,All Cancers,Jefferson,2014,Total,All Races,All Ages,Late,147,133.7,"44,638",229.5,192.8,271.9,,065
Age-Adjusted Rate,All Cancers,Jefferson,2014,Total,All Races,All Ages,Unknown,24,22.4,"44,638",34.4,21.9,52.9,,065
Age-Adjusted Rate,All Cancers,Juniata,2014,Total,All Races,All Ages,Invasive,147,162.4,"24,796",430.3,360.8,510.4,,067
Age-Adjusted Rate,All Cancers,Juniata,2014,Total,All Races,All Ages,Early,75,93.3,"24,796",220.9,171.5,281.2,,067
Age-Adjusted Rate,All Cancers,Juniata,2014,Total,All Races,All Ages,Late,74,73.4,"24,796",221.1,171.9,281.1,,067
Age-Adjusted Rate,All Cancers,Juniata,2014,Total,All Races,All Ages,Unknown,11,12.2,"24,796",ND,ND,ND,,067
Age-Adjusted Rate,All Cancers,Lackawanna,2014,Total,All Races,All Ages,Invasive,"1,228","1,358.6","212,719",420.6,396.5,445.9,-,069
Age-Adjusted Rate,All Cancers,Lackawanna,2014,Total,All Races,All Ages,Early,633,778.6,"212,719",223.0,205.3,242.0,-,069
Age-Adjusted Rate,All Cancers,Lackawanna,2014,Total,All Races,All Ages,Late,567,612.8,"212,719",194.4,178.2,211.8,,069
Age-Adjusted Rate,All Cancers,Lackawanna,2014,Total,All Races,All Ages,Unknown,137,104.8,"212,719",41.7,34.8,49.6,+,069
Age-Adjusted Rate,All Cancers,Lancaster,2014,Total,All Races,All Ages,Invasive,"2,805","3,064.1","533,320",426.8,410.7,443.4,-,071
Age-Adjusted Rate,All Cancers,Lancaster,2014,Total,All Races,All Ages,Early,"1,566","1,763.3","533,320",244.2,231.9,257.0,-,071
Age-Adjusted Rate,All Cancers,Lancaster,2014,Total,All Races,All Ages,Late,"1,244","1,381.6","533,320",187.9,177.4,199.0,-,071
Age-Adjusted Rate,All Cancers,Lancaster,2014,Total,All Races,All Ages,Unknown,250,232.6,"533,320",35.0,30.7,39.7,,071
Age-Adjusted Rate,All Cancers,Lawrence,2014,Total,All Races,All Ages,Invasive,585,602.0,"88,771",452.3,414.7,492.7,,073
Age-Adjusted Rate,All Cancers,Lawrence,2014,Total,All Races,All Ages,Early,301,343.7,"88,771",244.6,216.2,275.8,,073
Age-Adjusted Rate,All Cancers,Lawrence,2014,Total,All Races,All Ages,Late,290,272.0,"88,771",219.4,193.9,247.7,,073
Age-Adjusted Rate,All Cancers,Lawrence,2014,Total,All Races,All Ages,Unknown,37,46.9,"88,771",25.6,17.8,36.3,,073
Age-Adjusted Rate,All Cancers,Lebanon,2014,Total,All Races,All Ages,Invasive,795,849.2,"136,359",440.9,409.8,473.9,,075
Age-Adjusted Rate,All Cancers,Lebanon,2014,Total,All Races,All Ages,Early,459,487.4,"136,359",259.8,235.8,285.8,,075
Age-Adjusted Rate,All Cancers,Lebanon,2014,Total,All Races,All Ages,Late,353,383.3,"136,359",192.8,172.6,214.9,,075
Age-Adjusted Rate,All Cancers,Lebanon,2014,Total,All Races,All Ages,Unknown,64,64.8,"136,359",34.7,26.5,44.9,,075
Age-Adjusted Rate,All Cancers,Lehigh,2014,Total,All Races,All Ages,Invasive,"2,156","2,052.3","357,823",493.2,472.1,515.0,+,077
Age-Adjusted Rate,All Cancers,Lehigh,2014,Total,All Races,All Ages,Early,"1,269","1,186.2","357,823",294.2,277.8,311.3,+,077
Age-Adjusted Rate,All Cancers,Lehigh,2014,Total,All Races,All Ages,Late,955,924.9,"357,823",219.3,205.3,234.1,,077
Age-Adjusted Rate,All Cancers,Lehigh,2014,Total,All Races,All Ages,Unknown,130,153.6,"357,823",26.8,22.3,32.0,-,077
Age-Adjusted Rate,All Cancers,Luzerne,2014,Total,All Races,All Ages,Invasive,"2,158","2,056.1","318,829",494.3,472.9,516.5,+,079
Age-Adjusted Rate,All Cancers,Luzerne,2014,Total,All Races,All Ages,Early,"1,155","1,179.8","318,829",268.3,252.5,284.9,,079
Age-Adjusted Rate,All Cancers,Luzerne,2014,Total,All Races,All Ages,Late,"1,010",927.7,"318,829",231.0,216.5,246.3,+,079
Age-Adjusted Rate,All Cancers,Luzerne,2014,Total,All Races,All Ages,Unknown,167,157.9,"318,829",35.9,30.5,42.1,,079
Age-Adjusted Rate,All Cancers,Lycoming,2014,Total,All Races,All Ages,Invasive,730,715.2,"116,508",481.0,445.5,518.8,,081
Age-Adjusted Rate,All Cancers,Lycoming,2014,Total,All Races,All Ages,Early,435,411.9,"116,508",284.9,257.8,314.2,,081
Age-Adjusted Rate,All Cancers,Lycoming,2014,Total,All Races,All Ages,Late,313,322.7,"116,508",210.7,187.1,236.5,,081
Age-Adjusted Rate,All Cancers,Lycoming,2014,Total,All Races,All Ages,Unknown,52,53.7,"116,508",30.8,22.9,41.0,,081
Age-Adjusted Rate,All Cancers,McKean,2014,Total,All Races,All Ages,Invasive,233,269.4,"42,554",398.1,347.5,454.8,-,083
Age-Adjusted Rate,All Cancers,McKean,2014,Total,All Races,All Ages,Early,120,155.4,"42,554",212.0,174.6,255.5,-,083
Age-Adjusted Rate,All Cancers,McKean,2014,Total,All Races,All Ages,Late,117,121.6,"42,554",204.8,168.5,247.4,,083
Age-Adjusted Rate,All Cancers,McKean,2014,Total,All Races,All Ages,Unknown,23,20.0,"42,554",35.7,22.5,55.0,,083
Age-Adjusted Rate,All Cancers,Mercer,2014,Total,All Races,All Ages,Invasive,818,766.6,"114,884",499.8,464.6,537.2,,085
Age-Adjusted Rate,All Cancers,Mercer,2014,Total,All Races,All Ages,Early,487,437.4,"114,884",302.0,274.6,331.6,,085
Age-Adjusted Rate,All Cancers,Mercer,2014,Total,All Races,All Ages,Late,332,346.2,"114,884",203.6,181.4,228.1,,085
Age-Adjusted Rate,All Cancers,Mercer,2014,Total,All Races,All Ages,Unknown,58,60.0,"114,884",30.9,23.2,40.8,,085
Age-Adjusted Rate,All Cancers,Mifflin,2014,Total,All Races,All Ages,Invasive,306,309.8,"46,552",458.8,406.9,516.1,,087
Age-Adjusted Rate,All Cancers,Mifflin,2014,Total,All Races,All Ages,Early,149,177.6,"46,552",231.3,194.1,274.2,-,087
Age-Adjusted Rate,All Cancers,Mifflin,2014,Total,All Races,All Ages,Late,158,140.0,"46,552",236.4,199.7,278.5,,087
Age-Adjusted Rate,All Cancers,Mifflin,2014,Total,All Races,All Ages,Unknown,17,23.5,"46,552",ND,ND,ND,,087
Age-Adjusted Rate,All Cancers,Monroe,2014,Total,All Races,All Ages,Invasive,"1,011",960.6,"166,314",491.7,460.8,524.2,,089
Age-Adjusted Rate,All Cancers,Monroe,2014,Total,All Races,All Ages,Early,571,565.4,"166,314",276.7,253.7,301.4,,089
Age-Adjusted Rate,All Cancers,Monroe,2014,Total,All Races,All Ages,Late,447,433.7,"166,314",214.8,194.7,236.6,,089
Age-Adjusted Rate,All Cancers,Monroe,2014,Total,All Races,All Ages,Unknown,66,64.5,"166,314",35.4,27.1,45.4,,089
Age-Adjusted Rate,All Cancers,Montgomery,2014,Total,All Races,All Ages,Invasive,"4,902","4,842.1","816,857",472.5,459.0,486.3,,091
Age-Adjusted Rate,All Cancers,Montgomery,2014,Total,All Races,All Ages,Early,"3,179","2,795.7","816,857",311.9,300.8,323.3,+,091
Age-Adjusted Rate,All Cancers,Montgomery,2014,Total,All Races,All Ages,Late,"2,041","2,182.2","816,857",195.3,186.7,204.2,-,091
Age-Adjusted Rate,All Cancers,Montgomery,2014,Total,All Races,All Ages,Unknown,396,365.8,"816,857",36.3,32.7,40.2,,091
Age-Adjusted Rate,All Cancers,Montour,2014,Total,All Races,All Ages,Invasive,140,124.3,"18,641",559.1,464.3,668.6,,093
Age-Adjusted Rate,All Cancers,Montour,2014,Total,All Races,All Ages,Early,85,70.9,"18,641",348.0,273.1,438.0,,093
Age-Adjusted Rate,All Cancers,Montour,2014,Total,All Races,All Ages,Late,68,56.2,"18,641",275.3,210.2,355.3,,093
Age-Adjusted Rate,All Cancers,Montour,2014,Total,All Races,All Ages,Unknown,7,9.7,"18,641",ND,ND,ND,,093
Age-Adjusted Rate,All Cancers,Northampton,2014,Total,All Races,All Ages,Invasive,"1,955","1,838.2","300,654",495.4,473.0,518.6,+,095
Age-Adjusted Rate,All Cancers,Northampton,2014,Total,All Races,All Ages,Early,"1,140","1,058.8","300,654",296.3,278.8,314.8,+,095
Age-Adjusted Rate,All Cancers,Northampton,2014,Total,All Races,All Ages,Late,889,828.9,"300,654",222.5,207.7,238.1,,095
Age-Adjusted Rate,All Cancers,Northampton,2014,Total,All Races,All Ages,Unknown,115,139.6,"300,654",28.7,23.5,34.8,,095
Age-Adjusted Rate,All Cancers,Northumberland,2014,Total,All Races,All Ages,Invasive,627,625.8,"93,944",481.4,442.8,522.7,,097
Age-Adjusted Rate,All Cancers,Northumberland,2014,Total,All Races,All Ages,Early,387,359.2,"93,944",300.5,270.0,333.8,,097
Age-Adjusted Rate,All Cancers,Northumberland,2014,Total,All Races,All Ages,Late,260,282.5,"93,944",198.4,174.1,225.5,,097
Age-Adjusted Rate,All Cancers,Northumberland,2014,Total,All Races,All Ages,Unknown,41,47.6,"93,944",28.4,20.2,39.5,,097
Age-Adjusted Rate,All Cancers,Perry,2014,Total,All Races,All Ages,Invasive,239,271.9,"45,634",415.6,362.7,474.6,,099
Age-Adjusted Rate,All Cancers,Perry,2014,Total,All Races,All Ages,Early,129,159.8,"45,634",225.8,187.0,270.6,-,099
Age-Adjusted Rate,All Cancers,Perry,2014,Total,All Races,All Ages,Late,105,122.6,"45,634",182.3,147.9,222.9,,099
